Room,Area,Floor,Prices,Address,Longitude,Latitude
2 otaqlı,50 m²,15,97 500,Memar Əcəmi m. Baku,49.72871584404657,40.45649443426764
3 otaqlı,117 m²,5,225 000,Qara Qarayev m. Baku,49.99601363948763,40.4133020842247
2 otaqlı,53 m²,5,95 000,Şah İsmayıl Xətai m. Baku,49.856710000828244,40.38703000190996
2 otaqlı,106 m²,3,238 000,Elmlər Akademiyası m. Baku,49.81511000000006,40.37340000000006
2 otaqlı,67.1 m²,10,150 000,Neftçilər m. Baku,49.97309000230074,40.39667499502967
4 otaqlı,147 m²,16,243 000,Memar Əcəmi m. Baku,49.72871584404657,40.45649443426764
3 otaqlı,75 m²,10,120 000,Memar Əcəmi m. Baku,49.72871584404657,40.45649443426764
2 otaqlı,72.1 m²,17,232 883,Nardaran q. Baku,50.00777000000005,40.56221000000005
4 otaqlı,185 m²,2,660 000,Şah İsmayıl Xətai m. Baku,49.856710000828244,40.38703000190996
1 otaqlı,65.1 m²,6,162 750,Şah İsmayıl Xətai m. Baku,49.856710000828244,40.38703000190996
3 otaqlı,113.8 m²,11,290 190,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
5 otaqlı,351 m²,6,702 351,Bakı Baku,49.87222000000003,40.410660000000064
2 otaqlı,57.1 m²,6,117 096,Gənclik m. Baku,49.970096459341576,40.40867649330784
2 otaqlı,86.4 m²,4,224 640,Nərimanov r. Baku,49.87222000000003,40.410660000000064
5 otaqlı,265.8 m²,9,558 180,28 May m. Baku,49.943378301649275,40.47126854785195
2 otaqlı,67 m²,7,130 000,Badamdar q. Baku,49.81039673924087,40.35619015479255
2 otaqlı,50 m²,12,149 500,İçəri Şəhər m. Baku,49.83229000000006,40.36555000000004
3 otaqlı,148 m²,12,350 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
3 otaqlı,110 m²,3,128 000,Xalqlar Dostluğu m. Baku,49.95319000000006,40.39686000000006
4 otaqlı,180 m²,12,435 000,Şah İsmayıl Xətai m. Baku,49.856710000828244,40.38703000190996
3 otaqlı,110 m²,10,290 000,Şah İsmayıl Xətai m. Baku,49.856710000828244,40.38703000190996
4 otaqlı,211 m²,4,620 000,Şah İsmayıl Xətai m. Baku,49.856710000828244,40.38703000190996
2 otaqlı,90 m²,5,187 000,İnşaatçılar m. Baku,49.82165225801845,40.3803915444509
3 otaqlı,131 m²,16,327 000,Nizami m. Baku,49.92813000000007,40.40331000000003
2 otaqlı,76 m²,8,188 000,8 Noyabr m. Baku,49.87222000000003,40.410660000000064
3 otaqlı,160 m²,15,420 000,Elmlər Akademiyası m. Baku,49.81511000000006,40.37340000000006
3 otaqlı,78.5 m²,3,155 000,Badamdar q. Baku,49.81039673924087,40.35619015479255
4 otaqlı,170 m²,4,375 000,Yasamal r. Baku,49.80747000000008,40.381530000000055
3 otaqlı,120 m²,10,225 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
3 otaqlı,161 m²,12,250 000,Yeni Yasamal q. Baku,49.79300000000006,40.395020000000045
2 otaqlı,65 m²,5,90 000,Xətai r. Baku,49.94309000000004,40.36336000000006
4 otaqlı,206 m²,4,420 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
3 otaqlı,93 m²,17,197 000,Şah İsmayıl Xətai m. Baku,49.856710000828244,40.38703000190996
2 otaqlı,70 m²,11,122 900,Yeni Yasamal q. Baku,49.79300000000006,40.395020000000045
2 otaqlı,50 m²,4,110 000,Memar Əcəmi m. Baku,49.72871584404657,40.45649443426764
2 otaqlı,80 m²,16,121 500,Xətai r. Baku,49.94309000000004,40.36336000000006
3 otaqlı,101 m²,2,92 000,Xırdalan Baku,49.755250000000046,40.46255000000008
4 otaqlı,168 m²,7,425 000,Nəsimi r. Baku,49.83251000000007,40.39419000000004
4 otaqlı,150 m²,10,250 000,Səbail r. Baku,49.81532000000004,40.332550000000026
4 otaqlı,220 m²,9,561 000,Nəsimi r. Baku,49.83251000000007,40.39419000000004
3 otaqlı,99 m²,6,216 000,Elmlər Akademiyası m. Baku,49.81511000000006,40.37340000000006
4 otaqlı,210 m²,17,755 000,Səbail r. Baku,49.81532000000004,40.332550000000026
4 otaqlı,194.9 m²,5,370 310,28 May m. Baku,49.943378301649275,40.47126854785195
3 otaqlı,105.6 m²,3,171 007,Yasamal r. Baku,49.80747000000008,40.381530000000055
1 otaqlı,50.8 m²,6,73 660,Bakı Baku,49.87222000000003,40.410660000000064
3 otaqlı,126.2 m²,4,271 330,Ağ şəhər q. Baku,49.94037023009177,40.45800279717592
3 otaqlı,99.7 m²,7,134 595,Bakı Baku,49.87222000000003,40.410660000000064
2 otaqlı,97 m²,5,123 000,3-cü mikrorayon q. Baku,49.81881000000004,40.406900000000064
3 otaqlı,100 m²,13,80 000,Sumqayıt Baku,49.79935307347922,40.41757425239314
2 otaqlı,70 m²,7,76 000,Masazır q. Baku,49.87222000000003,40.410660000000064
2 otaqlı,72 m²,7,168 000,20 Yanvar m. Baku,49.80187067157377,40.4102411028833
3 otaqlı,85 m²,10,110 000,Xalqlar Dostluğu m. Baku,49.95319000000006,40.39686000000006
2 otaqlı,52 m²,3,95 000,Əhmədli m. Baku,49.941790000000026,40.38512000000003
3 otaqlı,140 m²,5,235 000,İnşaatçılar m. Baku,49.82165225801845,40.3803915444509
3 otaqlı,155 m²,2,320 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
4 otaqlı,159 m²,16,357 000,28 May m. Baku,49.943378301649275,40.47126854785195
2 otaqlı,88 m²,5,172 800,Memar Əcəmi m. Baku,49.72871584404657,40.45649443426764
3 otaqlı,100 m²,17,184 900,Nəsimi r. Baku,49.83251000000007,40.39419000000004
3 otaqlı,105 m²,10,210 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
2 otaqlı,65 m²,4,90 000,Həzi Aslanov m. Baku,49.932322777729446,40.37142935945017
3 otaqlı,106 m²,2,248 000,Şah İsmayıl Xətai m. Baku,49.856710000828244,40.38703000190996
3 otaqlı,174 m²,5,450 000,Nizami m. Baku,49.92813000000007,40.40331000000003
4 otaqlı,220 m²,11,450 000,Yasamal q. Baku,49.80747000000008,40.381530000000055
3 otaqlı,170 m²,16,330 000,Nizami m. Baku,49.92813000000007,40.40331000000003
3 otaqlı,169.1 m²,12,270 400,Bayıl q. Baku,49.87222000000003,40.410660000000064
4 otaqlı,144 m²,15,243 000,Memar Əcəmi m. Baku,49.72871584404657,40.45649443426764
4 otaqlı,181 m²,4,365 000,Elmlər Akademiyası m. Baku,49.81511000000006,40.37340000000006
2 otaqlı,90 m²,5,40 000,Yeni Yasamal q. Baku,49.79300000000006,40.395020000000045
3 otaqlı,136 m²,4,236 000,Elmlər Akademiyası m. Baku,49.81511000000006,40.37340000000006
3 otaqlı,102 m²,12,183 600,Elmlər Akademiyası m. Baku,49.81511000000006,40.37340000000006
3 otaqlı,125 m²,19,225 000,Memar Əcəmi m. Baku,49.72871584404657,40.45649443426764
3 otaqlı,90 m²,3,175 000,Nəsimi m. Baku,49.83251000000007,40.39419000000004
4 otaqlı,144.1 m²,11,415 000,Xətai r. Baku,49.94309000000004,40.36336000000006
2 otaqlı,63 m²,5,90 000,Xətai r. Baku,49.94309000000004,40.36336000000006
4 otaqlı,210 m²,6,755 000,Səbail r. Baku,49.81532000000004,40.332550000000026
3 otaqlı,170 m²,15,340 000,Ağ şəhər q. Baku,49.94037023009177,40.45800279717592
4 otaqlı,130 m²,8,325 000,Bakı Baku,49.87222000000003,40.410660000000064
2 otaqlı,67.2 m²,3,137 760,Gənclik m. Baku,49.970096459341576,40.40867649330784
2 otaqlı,97.5 m²,18,238 948,Bakı Baku,49.87222000000003,40.410660000000064
6 otaqlı,305 m²,10,1 100 000,İnşaatçılar m. Baku,49.82165225801845,40.3803915444509
3 otaqlı,90 m²,7,128 000,Yeni Yasamal q. Baku,49.79300000000006,40.395020000000045
2 otaqlı,59 m²,9,128 000,Memar Əcəmi m. Baku,49.72871584404657,40.45649443426764
3 otaqlı,106 m²,15,260 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
4 otaqlı,90 m²,15,105 000,Neftçilər m. Baku,49.97309000230074,40.39667499502967
3 otaqlı,122 m²,6,237 900,Nizami m. Baku,49.92813000000007,40.40331000000003
2 otaqlı,74 m²,11,155 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
2 otaqlı,73 m²,10,127 000,Neftçilər m. Baku,49.97309000230074,40.39667499502967
2 otaqlı,86 m²,5,170 000,Gənclik m. Baku,49.970096459341576,40.40867649330784
3 otaqlı,148 m²,9,350 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
3 otaqlı,47.2 m²,3,47 500,Ceyranbatan q. Baku,49.87222000000003,40.410660000000064
3 otaqlı,70 m²,9,120 000,İnşaatçılar m. Baku,49.82165225801845,40.3803915444509
4 otaqlı,204 m²,15,450 000,Nəsimi r. Baku,49.83251000000007,40.39419000000004
3 otaqlı,145 m²,12,430 000,Kubinka q. Baku,49.87222000000003,40.410660000000064
3 otaqlı,120 m²,10,235 000,Qara Qarayev m. Baku,49.99601363948763,40.4133020842247
2 otaqlı,54 m²,3,124 500,28 May m. Baku,49.943378301649275,40.47126854785195
2 otaqlı,105 m²,7,123 999,Neftçilər m. Baku,49.97309000230074,40.39667499502967
2 otaqlı,68 m²,2,91 000,Yeni Günəşli q. Baku,49.9788350006467,40.38465000241281
3 otaqlı,85 m²,4,135 000,Əhmədli m. Baku,49.941790000000026,40.38512000000003
2 otaqlı,60 m²,17,125 000,Həzi Aslanov q. Baku,49.932322777729446,40.37142935945017
4 otaqlı,140 m²,3,265 000,Xətai r. Baku,49.94309000000004,40.36336000000006
2 otaqlı,60 m²,6,106 000,Həzi Aslanov m. Baku,49.932322777729446,40.37142935945017
3 otaqlı,170 m²,2,540 000,Sahil m. Baku,49.570710000000076,40.222380000000044
2 otaqlı,105 m²,2,195 000,Şah İsmayıl Xətai m. Baku,49.856710000828244,40.38703000190996
4 otaqlı,130 m²,1,480 000,Sahil m. Baku,49.570710000000076,40.222380000000044
2 otaqlı,48.9 m²,17,81 975,İnşaatçılar m. Baku,49.82165225801845,40.3803915444509
3 otaqlı,178 m²,7,450 000,Nəsimi r. Baku,49.83251000000007,40.39419000000004
2 otaqlı,108 m²,7,209 000,Nəsimi r. Baku,49.83251000000007,40.39419000000004
2 otaqlı,97.6 m²,5,214 720,Nəsimi r. Baku,49.83251000000007,40.39419000000004
2 otaqlı,67.2 m²,2,137 760,Gənclik m. Baku,49.970096459341576,40.40867649330784
3 otaqlı,170 m²,17,340 000,Ağ şəhər q. Baku,49.94037023009177,40.45800279717592
1 otaqlı,67.1 m²,8,167 750,Ağ şəhər q. Baku,49.94037023009177,40.45800279717592
3 otaqlı,145 m²,3,319 000,Elmlər Akademiyası m. Baku,49.81511000000006,40.37340000000006
3 otaqlı,137 m²,10,450 000,Nizami m. Baku,49.92813000000007,40.40331000000003
2 otaqlı,96 m²,6,195 000,Şah İsmayıl Xətai m. Baku,49.856710000828244,40.38703000190996
2 otaqlı,82 m²,6,95 000,Bakıxanov q. Baku,49.95330000000007,40.43198000000007
4 otaqlı,105 m²,7,170 000,Nəsimi m. Baku,49.83251000000007,40.39419000000004
3 otaqlı,82 m²,5,120 000,Binəqədi r. Baku,49.82806000000005,40.46623000000005
3 otaqlı,100 m²,12,183 000,Nəsimi r. Baku,49.83251000000007,40.39419000000004
3 otaqlı,85 m²,9,210 000,28 May m. Baku,49.943378301649275,40.47126854785195
4 otaqlı,85 m²,16,140 000,Bayıl q. Baku,49.87222000000003,40.410660000000064
3 otaqlı,103 m²,7,270 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
1 otaqlı,44 m²,10,110 000,20 Yanvar m. Baku,49.80187067157377,40.4102411028833
2 otaqlı,60 m²,3,98 000,Memar Əcəmi m. Baku,49.72871584404657,40.45649443426764
2 otaqlı,64 m²,8,105 000,Azadlıq Prospekti m. Baku,49.85047192224774,40.37397787820967
2 otaqlı,105 m²,5,222 000,8 Noyabr m. Baku,49.87222000000003,40.410660000000064
3 otaqlı,130 m²,13,185 000,Elmlər Akademiyası m. Baku,49.81511000000006,40.37340000000006
3 otaqlı,110.5 m²,3,220 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
2 otaqlı,53 m²,5,128 000,28 May m. Baku,49.943378301649275,40.47126854785195
2 otaqlı,70 m²,9,127 000,Memar Əcəmi m. Baku,49.72871584404657,40.45649443426764
3 otaqlı,85 m²,6,123 000,Nəsimi m. Baku,49.83251000000007,40.39419000000004
3 otaqlı,130 m²,5,318 000,Şah İsmayıl Xətai m. Baku,49.856710000828244,40.38703000190996
3 otaqlı,106 m²,4,195 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
3 otaqlı,88 m²,12,165 000,Memar Əcəmi m. Baku,49.72871584404657,40.45649443426764
2 otaqlı,65 m²,10,115 000,Həzi Aslanov m. Baku,49.932322777729446,40.37142935945017
3 otaqlı,114 m²,13,142 000,Xətai r. Baku,49.94309000000004,40.36336000000006
1 otaqlı,47 m²,14,68 150,7-ci mikrorayon q. Baku,49.87222000000003,40.410660000000064
4 otaqlı,170.6 m²,10,375 320,Nəsimi r. Baku,49.83251000000007,40.39419000000004
4 otaqlı,153 m²,4,214 200,İnşaatçılar m. Baku,49.82165225801845,40.3803915444509
3 otaqlı,71 m²,4,108 500,Əhmədli m. Baku,49.941790000000026,40.38512000000003
1 otaqlı,50.4 m²,4,73 094,Bakı Baku,49.87222000000003,40.410660000000064
2 otaqlı,90.5 m²,12,235 300,Ağ şəhər q. Baku,49.94037023009177,40.45800279717592
3 otaqlı,124.5 m²,19,273 900,Nəsimi r. Baku,49.83251000000007,40.39419000000004
4 otaqlı,148.3 m²,4,311 430,28 May m. Baku,49.943378301649275,40.47126854785195
3 otaqlı,75 m²,14,175 000,İnşaatçılar m. Baku,49.82165225801845,40.3803915444509
3 otaqlı,60 m²,5,162 000,8 Noyabr m. Baku,49.87222000000003,40.410660000000064
3 otaqlı,130 m²,5,235 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
3 otaqlı,65 m²,2,100 000,Neftçilər m. Baku,49.97309000230074,40.39667499502967
4 otaqlı,179 m²,17,284 000,Dərnəgül m. Baku,49.86241000000007,40.41728000000006
4 otaqlı,90 m²,3,105 000,Neftçilər m. Baku,49.97309000230074,40.39667499502967
3 otaqlı,75 m²,2,65 000,Həzi Aslanov m. Baku,49.932322777729446,40.37142935945017
3 otaqlı,78 m²,17,143 000,20 Yanvar m. Baku,49.80187067157377,40.4102411028833
5 otaqlı,145 m²,4,405 000,Sahil m. Baku,49.570710000000076,40.222380000000044
4 otaqlı,182 m²,3,320 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
3 otaqlı,170 m²,10,399 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
3 otaqlı,85 m²,8,155 000,Bayıl q. Baku,49.87222000000003,40.410660000000064
5 otaqlı,220 m²,14,365 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
3 otaqlı,84 m²,2,225 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
1 otaqlı,63 m²,6,138 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
2 otaqlı,93 m²,15,158 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
3 otaqlı,128 m²,12,248 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
3 otaqlı,175 m²,4,375 000,Koroğlu m. Baku,49.834180031825866,40.429712180332366
3 otaqlı,115 m²,1,285 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
3 otaqlı,122 m²,13,295 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
3 otaqlı,132 m²,9,211 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
3 otaqlı,138 m²,2,221 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
5 otaqlı,250 m²,12,595 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
2 otaqlı,85 m²,2,192 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
2 otaqlı,68 m²,7,115 000,Həzi Aslanov m. Baku,49.932322777729446,40.37142935945017
3 otaqlı,120 m²,5,250 000,Bayıl q. Baku,49.87222000000003,40.410660000000064
2 otaqlı,65 m²,2,110 000,Bayıl q. Baku,49.87222000000003,40.410660000000064
3 otaqlı,84 m²,6,144 999,Gənclik m. Baku,49.970096459341576,40.40867649330784
1 otaqlı,45.3 m²,5,74 242,Yasamal r. Baku,49.80747000000008,40.381530000000055
3 otaqlı,135 m²,2,290 250,Ağ şəhər  Baku,49.94037023009177,40.45800279717592
3 otaqlı,124.5 m²,14,273 900,Nəsimi r. Baku,49.83251000000007,40.39419000000004
4 otaqlı,143.6 m²,10,301 560,28 May m. Baku,49.943378301649275,40.47126854785195
3 otaqlı,115 m²,10,220 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
4 otaqlı,178 m²,17,410 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
4 otaqlı,115 m²,5,255 000,Şah İsmayıl Xətai m. Baku,49.856710000828244,40.38703000190996
2 otaqlı,60 m²,8,103 000,Neftçilər m. Baku,49.97309000230074,40.39667499502967
4 otaqlı,163 m²,4,375 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
3 otaqlı,92 m²,13,105 000,Masazır q. Baku,49.87222000000003,40.410660000000064
3 otaqlı,119 m²,17,180 000,Nizami r. Baku,49.92813000000007,40.40331000000003
3 otaqlı,115 m²,2,285 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
2 otaqlı,60 m²,2,158 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
3 otaqlı,127 m²,10,248 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
4 otaqlı,263 m²,2,640 000,İçəri Şəhər m. Baku,49.83229000000006,40.36555000000004
3 otaqlı,90 m²,14,230 000,İnşaatçılar m. Baku,49.82165225801845,40.3803915444509
2 otaqlı,86 m²,20,215 000,Nəsimi r. Baku,49.83251000000007,40.39419000000004
3 otaqlı,70 m²,11,85 000,Biləcəri q. Baku,49.80925000000008,40.43766000000005
5 otaqlı,150 m²,8,360 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
2 otaqlı,74 m²,12,160 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
2 otaqlı,73 m²,4,135 000,8 Noyabr m. Baku,49.87222000000003,40.410660000000064
4 otaqlı,110 m²,5,143 000,9-cu mikrorayon q. Baku,49.87222000000003,40.410660000000064
3 otaqlı,118 m²,6,250 000,Elmlər Akademiyası m. Baku,49.81511000000006,40.37340000000006
3 otaqlı,70 m²,12,84 000,Xırdalan Baku,49.755250000000046,40.46255000000008
4 otaqlı,118 m²,13,150 000,Xırdalan Baku,49.755250000000046,40.46255000000008
3 otaqlı,66 m²,9,82 000,Xırdalan Baku,49.755250000000046,40.46255000000008
2 otaqlı,50 m²,14,133 000,İçəri Şəhər m. Baku,49.83229000000006,40.36555000000004
3 otaqlı,155 m²,4,225 000,20 Yanvar m. Baku,49.80187067157377,40.4102411028833
4 otaqlı,214.7 m²,17,729 980,İçəri Şəhər m. Baku,49.83229000000006,40.36555000000004
1 otaqlı,46.1 m²,4,64 540,Bakıxanov q. Baku,49.95330000000007,40.43198000000007
2 otaqlı,58 m²,2,158 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
2 otaqlı,128 m²,6,485 000,Nəsimi r. Baku,49.83251000000007,40.39419000000004
2 otaqlı,57.1 m²,14,117 096,Gənclik m. Baku,49.970096459341576,40.40867649330784
2 otaqlı,98.2 m²,5,98 240,Yeni Günəşli q. Baku,49.9788350006467,40.38465000241281
2 otaqlı,97.4 m²,4,165 495,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
3 otaqlı,162.5 m²,8,333 186,Gənclik m. Baku,49.970096459341576,40.40867649330784
2 otaqlı,82 m²,14,120 000,Xırdalan Baku,49.755250000000046,40.46255000000008
2 otaqlı,100 m²,12,125 000,Əhmədli m. Baku,49.941790000000026,40.38512000000003
1 otaqlı,31 m²,6,78 000,İnşaatçılar m. Baku,49.82165225801845,40.3803915444509
3 otaqlı,134 m²,2,167 500,Badamdar q. Baku,49.81039673924087,40.35619015479255
2 otaqlı,85 m²,2,138 000,9-cu mikrorayon q. Baku,49.87222000000003,40.410660000000064
2 otaqlı,65 m²,8,144 000,Azadlıq Prospekti m. Baku,49.85047192224774,40.37397787820967
2 otaqlı,78 m²,2,155 000,7-ci mikrorayon q. Baku,49.87222000000003,40.410660000000064
5 otaqlı,102.2 m²,10,30 000,Göygöl Baku,49.86861000000005,40.40259000000003
3 otaqlı,170 m²,5,265 000,Nəsimi r. Baku,49.83251000000007,40.39419000000004
4 otaqlı,232 m²,7,378 000,8 Noyabr m. Baku,49.87222000000003,40.410660000000064
3 otaqlı,170 m²,16,265 000,Nəsimi r. Baku,49.83251000000007,40.39419000000004
3 otaqlı,140 m²,12,280 000,Elmlər Akademiyası m. Baku,49.81511000000006,40.37340000000006
4 otaqlı,280 m²,5,750 000,Elmlər Akademiyası m. Baku,49.81511000000006,40.37340000000006
4 otaqlı,205 m²,10,560 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
2 otaqlı,58 m²,4,95 000,Yeni Yasamal q. Baku,49.79300000000006,40.395020000000045
3 otaqlı,130 m²,9,230 000,9-cu mikrorayon q. Baku,49.87222000000003,40.410660000000064
3 otaqlı,65 m²,4,160 000,Şah İsmayıl Xətai m. Baku,49.856710000828244,40.38703000190996
4 otaqlı,220 m²,7,430 000,Nizami m. Baku,49.92813000000007,40.40331000000003
2 otaqlı,55 m²,2,98 000,20 Yanvar m. Baku,49.80187067157377,40.4102411028833
4 otaqlı,210 m²,4,430 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
5 otaqlı,160 m²,1,340 000,İnşaatçılar m. Baku,49.82165225801845,40.3803915444509
4 otaqlı,150 m²,2,237 000,20 Yanvar m. Baku,49.80187067157377,40.4102411028833
3 otaqlı,140 m²,3,280 000,Elmlər Akademiyası m. Baku,49.81511000000006,40.37340000000006
2 otaqlı,110 m²,12,190 000,Şah İsmayıl Xətai m. Baku,49.856710000828244,40.38703000190996
4 otaqlı,245 m²,16,299 900,Gənclik m. Baku,49.970096459341576,40.40867649330784
4 otaqlı,200 m²,12,265 000,Memar Əcəmi m. Baku,49.72871584404657,40.45649443426764
2 otaqlı,94 m²,9,141 000,Memar Əcəmi m. Baku,49.72871584404657,40.45649443426764
3 otaqlı,121.3 m²,1,230 470,28 May m. Baku,49.943378301649275,40.47126854785195
2 otaqlı,97.4 m²,8,165 495,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
1 otaqlı,45.3 m²,2,74 242,Yasamal r. Baku,49.80747000000008,40.381530000000055
1 otaqlı,73.1 m²,10,73 130,Yeni Günəşli q. Baku,49.9788350006467,40.38465000241281
4 otaqlı,146.3 m²,7,197 464,Bakı Baku,49.87222000000003,40.410660000000064
2 otaqlı,85 m²,3,209 500,28 May m. Baku,49.943378301649275,40.47126854785195
2 otaqlı,54 m²,3,141 000,Nəriman Nərimanov m. Baku,49.95080686313931,40.47341961363625
3 otaqlı,110 m²,12,172 000,İnşaatçılar m. Baku,49.82165225801845,40.3803915444509
1 otaqlı,50 m²,4,79 000,Azadlıq Prospekti m. Baku,49.85047192224774,40.37397787820967
3 otaqlı,136 m²,6,280 000,Elmlər Akademiyası m. Baku,49.81511000000006,40.37340000000006
2 otaqlı,90 m²,6,219 900,8 Noyabr m. Baku,49.87222000000003,40.410660000000064
2 otaqlı,68 m²,10,119 000,Nəsimi r. Baku,49.83251000000007,40.39419000000004
2 otaqlı,60 m²,5,125 000,Nərimanov r. Baku,49.87222000000003,40.410660000000064
3 otaqlı,135 m²,5,220 000,Nəsimi r. Baku,49.83251000000007,40.39419000000004
2 otaqlı,65 m²,5,150 000,Azadlıq Prospekti m. Baku,49.85047192224774,40.37397787820967
3 otaqlı,76 m²,3,250 000,28 May m. Baku,49.943378301649275,40.47126854785195
4 otaqlı,155 m²,1,355 000,Nizami m. Baku,49.92813000000007,40.40331000000003
2 otaqlı,65 m²,4,165 000,Azadlıq Prospekti m. Baku,49.85047192224774,40.37397787820967
3 otaqlı,63 m²,2,162 000,Nəsimi r. Baku,49.83251000000007,40.39419000000004
2 otaqlı,110 m²,5,180 000,20 Yanvar m. Baku,49.80187067157377,40.4102411028833
3 otaqlı,140 m²,8,288 000,Səbail r. Baku,49.81532000000004,40.332550000000026
3 otaqlı,97 m²,5,280 000,Bayıl q. Baku,49.87222000000003,40.410660000000064
3 otaqlı,142.7 m²,4,256 500,Nəsimi r. Baku,49.83251000000007,40.39419000000004
2 otaqlı,61 m²,5,135 000,8-ci mikrorayon q. Baku,49.83903000000004,40.41712000000007
3 otaqlı,85 m²,10,68 000,Şah İsmayıl Xətai m. Baku,49.856710000828244,40.38703000190996
2 otaqlı,60 m²,4,100 000,Memar Əcəmi m. Baku,49.72871584404657,40.45649443426764
3 otaqlı,80 m²,5,180 000,Nizami m. Baku,49.92813000000007,40.40331000000003
